"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2014-09",100.6867,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2014-10",100.6362,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2014-11",100.644,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2014-12",100.6608,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2015-01",100.6907,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2015-02",100.7283,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2015-03",100.7742,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2015-04",100.7527,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2015-05",100.7147,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2015-06",100.6782,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2015-07",100.6887,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2015-08",100.6971,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2015-09",100.7643,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2015-10",100.8039,
