Date,DAX,Merck,MSCI,CLeadIndic,BusConf,ConsConf,SP_POP_TOTL,SP_POP_GROW,EN_POP_DNST,NY_GNP_ATLS_CD,NY_GNP_PCAP_CD,NY_GNP_MKTP_PP_CD,NY_GNP_PCAP_PP_CD,SP_ADO_TFRT,SH_DYN_MORT,SH_IMM_MEAS,SP_URB_GROW,NY_GDP_MKTP_CD,NY_GDP_MKTP_KD_ZG,NY_GDP_DEFL_KD_ZG,NV_AGR_TOTL_ZS,NV_IND_TOTL_ZS,NV_SRV_TETC_ZS,NE_EXP_GNFS_ZS,NE_IMP_GNFS_ZS,NE_GDI_TOTL_ZS,FS_AST_DOMS_GD_ZS,MS_MIL_XPND_GD_ZS,IT_CEL_SETS_P2,IT_NET_USER_P2,TG_VAL_TOTL_GD_ZS,BX_TRF_PWKR_CD_DT,BX_KLT_DINV_CD_WD,HHDEBT,HHFA,HHDI,HHFT,HHSAVFORECAST,HHSAV
2013-01-01,7612.390137,99.83,24.4,99.22213,99.83537,99.86818,80425823,-1.69134895621081,230.750625466231,3755769315846.54,46700,3592368752004.81,44670,8.026,3.9,97,-1.42320917049157,3533242461467.05,0.376483651233798,1.49997802781789,0.873654308822892,30.683034038958,68.4433116522191,45.9242881559329,40.0424015418742,19.1784064875086,157.402014618713,1.31524782719372,111.594039820304,82.3499984738392,72.6903300548923,16433903353.8406,54659879056.009,95.47638,39.5527,0.623393399349514,8.310776,9.1356600483,9.26037780050794
2013-01-02,7689.459961,100.75,25.040001,99.22213,99.83537,99.86818,80425823,-1.69134895621081,230.750625466231,3755769315846.54,46700,3592368752004.81,44670,8.026,3.9,97,-1.42320917049157,3533242461467.05,0.376483651233798,1.49997802781789,0.873654308822892,30.683034038958,68.4433116522191,45.9242881559329,40.0424015418742,19.1784064875086,157.402014618713,1.31524782719372,111.594039820304,82.3499984738392,72.6903300548923,16433903353.8406,54659879056.009,95.47638,39.5527,0.623393399349514,8.310776,9.1356600483,9.26037780050794
2013-01-03,7762.129883,101.25,24.73,99.22213,99.83537,99.86818,80425823,-1.69134895621081,230.750625466231,3755769315846.54,46700,3592368752004.81,44670,8.026,3.9,97,-1.42320917049157,3533242461467.05,0.376483651233798,1.49997802781789,0.873654308822892,30.683034038958,68.4433116522191,45.9242881559329,40.0424015418742,19.1784064875086,157.402014618713,1.31524782719372,111.594039820304,82.3499984738392,72.6903300548923,16433903353.8406,54659879056.009,95.47638,39.5527,0.623393399349514,8.310776,9.1356600483,9.26037780050794
2013-01-04,7740.990234,99.99,24.6,99.22213,99.83537,99.86818,80425823,-1.69134895621081,230.750625466231,3755769315846.54,46700,3592368752004.81,44670,8.026,3.9,97,-1.42320917049157,3533242461467.05,0.376483651233798,1.49997802781789,0.873654308822892,30.683034038958,68.4433116522191,45.9242881559329,40.0424015418742,19.1784064875086,157.402014618713,1.31524782719372,111.594039820304,82.3499984738392,72.6903300548923,16433903353.8406,54659879056.009,95.47638,39.5527,0.623393399349514,8.310776,9.1356600483,9.26037780050794
2013-01-05,7740.990234,99.99,24.6,99.22213,99.83537,99.86818,80425823,-1.69134895621081,230.750625466231,3755769315846.54,46700,3592368752004.81,44670,8.026,3.9,97,-1.42320917049157,3533242461467.05,0.376483651233798,1.49997802781789,0.873654308822892,30.683034038958,68.4433116522191,45.9242881559329,40.0424015418742,19.1784064875086,157.402014618713,1.31524782719372,111.594039820304,82.3499984738392,72.6903300548923,16433903353.8406,54659879056.009,95.47638,39.5527,0.623393399349514,8.310776,9.1356600483,9.26037780050794
2013-01-06,7740.990234,99.99,24.6,99.22213,99.83537,99.86818,80425823,-1.69134895621081,230.750625466231,3755769315846.54,46700,3592368752004.81,44670,8.026,3.9,97,-1.42320917049157,3533242461467.05,0.376483651233798,1.49997802781789,0.873654308822892,30.683034038958,68.4433116522191,45.9242881559329,40.0424015418742,19.1784064875086,157.402014618713,1.31524782719372,111.594039820304,82.3499984738392,72.6903300548923,16433903353.8406,54659879056.009,95.47638,39.5527,0.623393399349514,8.310776,9.1356600483,9.26037780050794
2013-01-07,7760.009766,99,24.58,99.22213,99.83537,99.86818,80425823,-1.69134895621081,230.750625466231,3755769315846.54,46700,3592368752004.81,44670,8.026,3.9,97,-1.42320917049157,3533242461467.05,0.376483651233798,1.49997802781789,0.873654308822892,30.683034038958,68.4433116522191,45.9242881559329,40.0424015418742,19.1784064875086,157.402014618713,1.31524782719372,111.594039820304,82.3499984738392,72.6903300548923,16433903353.8406,54659879056.009,95.47638,39.5527,0.623393399349514,8.310776,9.1356600483,9.26037780050794
2013-01-08,7710.700195,99.42,24.57,99.22213,99.83537,99.86818,80425823,-1.69134895621081,230.750625466231,3755769315846.54,46700,3592368752004.81,44670,8.026,3.9,97,-1.42320917049157,3533242461467.05,0.376483651233798,1.49997802781789,0.873654308822892,30.683034038958,68.4433116522191,45.9242881559329,40.0424015418742,19.1784064875086,157.402014618713,1.31524782719372,111.594039820304,82.3499984738392,72.6903300548923,16433903353.8406,54659879056.009,95.47638,39.5527,0.623393399349514,8.310776,9.1356600483,9.26037780050794
2013-01-09,7713.569824,102.8,24.459999,99.22213,99.83537,99.86818,80425823,-1.69134895621081,230.750625466231,3755769315846.54,46700,3592368752004.81,44670,8.026,3.9,97,-1.42320917049157,3533242461467.05,0.376483651233798,1.49997802781789,0.873654308822892,30.683034038958,68.4433116522191,45.9242881559329,40.0424015418742,19.1784064875086,157.402014618713,1.31524782719372,111.594039820304,82.3499984738392,72.6903300548923,16433903353.8406,54659879056.009,95.47638,39.5527,0.623393399349514,8.310776,9.1356600483,9.26037780050794
2013-01-10,7732.140137,103,24.92,99.22213,99.83537,99.86818,80425823,-1.69134895621081,230.750625466231,3755769315846.54,46700,3592368752004.81,44670,8.026,3.9,97,-1.42320917049157,3533242461467.05,0.376483651233798,1.49997802781789,0.873654308822892,30.683034038958,68.4433116522191,45.9242881559329,40.0424015418742,19.1784064875086,157.402014618713,1.31524782719372,111.594039820304,82.3499984738392,72.6903300548923,16433903353.8406,54659879056.009,95.47638,39.5527,0.623393399349514,8.310776,9.1356600483,9.26037780050794
