"Date";"State";"Goog_trend"
2013-09-02;"BY";52
2013-09-03;"BY";52
2013-09-04;"BY";52
2013-09-05;"BY";52
2013-09-06;"BY";52
2013-09-07;"BY";52
2013-09-08;"BY";62
2013-09-09;"BY";62
2013-09-10;"BY";62
2013-09-11;"BY";62
2013-09-12;"BY";62
2013-09-13;"BY";62
2013-09-14;"BY";62
2013-09-15;"BY";50
2013-09-16;"BY";50
2013-09-17;"BY";50
2013-09-18;"BY";50
2013-09-19;"BY";50
2013-09-20;"BY";50
2013-09-21;"BY";50
2013-09-22;"BY";58
2013-09-23;"BY";58
2013-09-24;"BY";58
2013-09-25;"BY";58
2013-09-26;"BY";58
2013-09-27;"BY";58
2013-09-28;"BY";58
2013-09-29;"BY";51
2013-09-30;"BY";51
2013-10-01;"BY";51
2013-10-02;"BY";51
2013-10-03;"BY";51
2013-10-04;"BY";51
2013-10-05;"BY";51
2013-10-06;"BY";57
2013-10-07;"BY";57
2013-10-08;"BY";57
2013-10-09;"BY";57
2013-10-10;"BY";57
2013-10-11;"BY";57
2013-10-12;"BY";57
2013-10-13;"BY";50
2013-10-14;"BY";50
2013-10-15;"BY";50
2013-10-16;"BY";50
2013-10-17;"BY";50
2013-10-18;"BY";50
2013-10-19;"BY";50
2013-10-20;"BY";59
2013-10-21;"BY";59
2013-10-22;"BY";59
2013-10-23;"BY";59
2013-10-24;"BY";59
2013-10-25;"BY";59
2013-10-26;"BY";59
2013-10-27;"BY";45
2013-10-28;"BY";45
2013-10-29;"BY";45
2013-10-30;"BY";45
2013-10-31;"BY";45
2013-11-01;"BY";45
2013-11-02;"BY";45
2013-11-03;"BY";62
2013-11-04;"BY";62
2013-11-05;"BY";62
2013-11-06;"BY";62
2013-11-07;"BY";62
2013-11-08;"BY";62
2013-11-09;"BY";62
2013-11-10;"BY";51
2013-11-11;"BY";51
2013-11-12;"BY";51
2013-11-13;"BY";51
2013-11-14;"BY";51
2013-11-15;"BY";51
2013-11-16;"BY";51
2013-11-17;"BY";65
2013-11-18;"BY";65
2013-11-19;"BY";65
2013-11-20;"BY";65
2013-11-21;"BY";65
2013-11-22;"BY";65
2013-11-23;"BY";65
2013-11-24;"BY";63
2013-11-25;"BY";63
2013-11-26;"BY";63
2013-11-27;"BY";63
2013-11-28;"BY";63
2013-11-29;"BY";63
2013-11-30;"BY";63
2013-12-01;"BY";67
2013-12-02;"BY";67
2013-12-03;"BY";67
2013-12-04;"BY";67
2013-12-05;"BY";67
2013-12-06;"BY";67
2013-12-07;"BY";67
2013-12-08;"BY";72
2013-12-09;"BY";72
2013-12-10;"BY";72
2013-12-11;"BY";72
2013-12-12;"BY";72
2013-12-13;"BY";72
2013-12-14;"BY";72
2013-12-15;"BY";90
2013-12-16;"BY";90
2013-12-17;"BY";90
2013-12-18;"BY";90
2013-12-19;"BY";90
2013-12-20;"BY";90
2013-12-21;"BY";90
2013-12-22;"BY";64
2013-12-23;"BY";64
2013-12-24;"BY";64
2013-12-25;"BY";64
2013-12-26;"BY";64
2013-12-27;"BY";64
2013-12-28;"BY";64
2013-12-29;"BY";63
2013-12-30;"BY";63
2013-12-31;"BY";63
2014-01-01;"BY";63
2014-01-02;"BY";63
2014-01-03;"BY";63
2014-01-04;"BY";63
2014-01-05;"BY";58
2014-01-06;"BY";58
2014-01-07;"BY";58
2014-01-08;"BY";58
2014-01-09;"BY";58
2014-01-10;"BY";58
2014-01-11;"BY";58
2014-01-12;"BY";52
2014-01-13;"BY";52
2014-01-14;"BY";52
2014-01-15;"BY";52
2014-01-16;"BY";52
2014-01-17;"BY";52
2014-01-18;"BY";52
2014-01-19;"BY";63
2014-01-20;"BY";63
2014-01-21;"BY";63
2014-01-22;"BY";63
2014-01-23;"BY";63
2014-01-24;"BY";63
2014-01-25;"BY";63
2014-01-26;"BY";54
2014-01-27;"BY";54
2014-01-28;"BY";54
2014-01-29;"BY";54
2014-01-30;"BY";54
2014-01-31;"BY";54
2014-02-01;"BY";54
2014-02-02;"BY";64
2014-02-03;"BY";64
2014-02-04;"BY";64
2014-02-05;"BY";64
2014-02-06;"BY";64
2014-02-07;"BY";64
2014-02-08;"BY";64
2014-02-09;"BY";53
2014-02-10;"BY";53
2014-02-11;"BY";53
2014-02-12;"BY";53
2014-02-13;"BY";53
2014-02-14;"BY";53
2014-02-15;"BY";53
2014-02-16;"BY";63
2014-02-17;"BY";63
2014-02-18;"BY";63
2014-02-19;"BY";63
2014-02-20;"BY";63
2014-02-21;"BY";63
2014-02-22;"BY";63
2014-02-23;"BY";54
2014-02-24;"BY";54
2014-02-25;"BY";54
2014-02-26;"BY";54
2014-02-27;"BY";54
2014-02-28;"BY";54
2014-03-01;"BY";54
2014-03-02;"BY";66
2014-03-03;"BY";66
2014-03-04;"BY";66
2014-03-05;"BY";66
2014-03-06;"BY";66
2014-03-07;"BY";66
2014-03-08;"BY";66
2014-03-09;"BY";52
2014-03-10;"BY";52
2014-03-11;"BY";52
2014-03-12;"BY";52
2014-03-13;"BY";52
2014-03-14;"BY";52
2014-03-15;"BY";52
2014-03-16;"BY";63
2014-03-17;"BY";63
2014-03-18;"BY";63
2014-03-19;"BY";63
2014-03-20;"BY";63
2014-03-21;"BY";63
2014-03-22;"BY";63
2014-03-23;"BY";52
2014-03-24;"BY";52
2014-03-25;"BY";52
2014-03-26;"BY";52
2014-03-27;"BY";52
2014-03-28;"BY";52
2014-03-29;"BY";52
2014-03-30;"BY";62
2014-03-31;"BY";62
2014-04-01;"BY";62
2014-04-02;"BY";62
2014-04-03;"BY";62
2014-04-04;"BY";62
2014-04-05;"BY";62
2014-04-06;"BY";58
2014-04-07;"BY";58
2014-04-08;"BY";58
2014-04-09;"BY";58
2014-04-10;"BY";58
2014-04-11;"BY";58
2014-04-12;"BY";58
2014-04-13;"BY";69
2014-04-14;"BY";69
2014-04-15;"BY";69
2014-04-16;"BY";69
2014-04-17;"BY";69
2014-04-18;"BY";69
2014-04-19;"BY";69
2014-04-20;"BY";50
2014-04-21;"BY";50
2014-04-22;"BY";50
2014-04-23;"BY";50
2014-04-24;"BY";50
2014-04-25;"BY";50
2014-04-26;"BY";50
2014-04-27;"BY";65
2014-04-28;"BY";65
2014-04-29;"BY";65
2014-04-30;"BY";65
2014-05-01;"BY";65
2014-05-02;"BY";65
2014-05-03;"BY";65
2014-05-04;"BY";70
2014-05-05;"BY";70
2014-05-06;"BY";70
2014-05-07;"BY";70
2014-05-08;"BY";70
2014-05-09;"BY";70
2014-05-10;"BY";70
2014-05-11;"BY";60
2014-05-12;"BY";60
2014-05-13;"BY";60
2014-05-14;"BY";60
2014-05-15;"BY";60
2014-05-16;"BY";60
2014-05-17;"BY";60
2014-05-18;"BY";67
2014-05-19;"BY";67
2014-05-20;"BY";67
2014-05-21;"BY";67
2014-05-22;"BY";67
2014-05-23;"BY";67
2014-05-24;"BY";67
2014-05-25;"BY";55
2014-05-26;"BY";55
2014-05-27;"BY";55
2014-05-28;"BY";55
2014-05-29;"BY";55
2014-05-30;"BY";55
2014-05-31;"BY";55
2014-06-01;"BY";64
2014-06-02;"BY";64
2014-06-03;"BY";64
2014-06-04;"BY";64
2014-06-05;"BY";64
2014-06-06;"BY";64
2014-06-07;"BY";64
2014-06-08;"BY";56
2014-06-09;"BY";56
2014-06-10;"BY";56
2014-06-11;"BY";56
2014-06-12;"BY";56
2014-06-13;"BY";56
2014-06-14;"BY";56
2014-06-15;"BY";68
2014-06-16;"BY";68
2014-06-17;"BY";68
2014-06-18;"BY";68
2014-06-19;"BY";68
2014-06-20;"BY";68
2014-06-21;"BY";68
2014-06-22;"BY";58
2014-06-23;"BY";58
2014-06-24;"BY";58
2014-06-25;"BY";58
2014-06-26;"BY";58
2014-06-27;"BY";58
2014-06-28;"BY";58
2014-06-29;"BY";68
2014-06-30;"BY";68
2014-07-01;"BY";68
2014-07-02;"BY";68
2014-07-03;"BY";68
2014-07-04;"BY";68
2014-07-05;"BY";68
2014-07-06;"BY";59
2014-07-07;"BY";59
2014-07-08;"BY";59
2014-07-09;"BY";59
2014-07-10;"BY";59
2014-07-11;"BY";59
2014-07-12;"BY";59
2014-07-13;"BY";67
